SystemSKU,Model,WindowsVersion
Surface_Book_1793,Surface Book 2,20H2
Surface_Book_3_1899,Surface Book 3,20H2
Surface_Go_1824_Commercial,Surface Go,20H2
Surface_Laptop_4_1950:1951,Surface Laptop 4,20H2
Surface_Laptop_4_1958:1959,Surface Laptop 4,20H2
Surface_Laptop_3_1867:1868,Surface Laptop 3,20H2
Surface_Laptop_2_1769_Commercial,Surface Laptop 2,20H2
Surface_Laptop,Surface Laptop,20H2
Surface_Go_1824_Commercial,Surface Go,20H2
Surface_3,Surface 3,20H2
Surface_Go_2_1926,Surface Go 2,20H2
